"","FAO","iso3","name","max.pop","gt.500k"
"1",1,"ARM","Armenia",3450,TRUE
"2",2,"AFG","Afghanistan",32358,TRUE
"3",3,"ALB","Albania",3292,TRUE
"4",4,"DZA","Algeria",35980,TRUE
"5",5,"ASM","American Samoa",70,FALSE
"6",6,"AND","Andorra",86,FALSE
"7",7,"AGO","Angola",19618,TRUE
"8",8,"ATG","Antigua and Barbuda",90,FALSE
"9",9,"ARG","Argentina",40765,TRUE
"10",10,"AUS","Australia",22606,TRUE
"11",11,"AUT","Austria",8413,TRUE
"12",12,"BHS","Bahamas",347,FALSE
"13",13,"BHR","Bahrain",1324,TRUE
"14",14,"BRB","Barbados",274,FALSE
"15",15,"BEL","Belgium-Luxembourg",10579,TRUE
"16",16,"BGD","Bangladesh",150494,TRUE
"17",17,"BMU","Bermuda",65,FALSE
"18",18,"BTN","Bhutan",738,TRUE
"19",19,"BOL","Bolivia (Plurinational State of)",10088,TRUE
"20",20,"BWA","Botswana",2031,TRUE
"21",21,"BRA","Brazil",196655,TRUE
"22",22,"ABW","Aruba",108,FALSE
"23",23,"BLZ","Belize",318,FALSE
"24",24,"IOT","British Indian Ocean Territory",0,FALSE
"25",25,"SLB","Solomon Islands",552,TRUE
"26",26,"BRN","Brunei Darussalam",406,FALSE
"27",27,"BGR","Bulgaria",8957,TRUE
"28",28,"MMR","Myanmar",48337,TRUE
"29",29,"BDI","Burundi",8575,TRUE
"30",30,"ATA","Antarctica",0,FALSE
"31",31,"BVT","Bouvet Island",0,FALSE
"32",32,"CMR","Cameroon",20030,TRUE
"33",33,"CAN","Canada",34350,TRUE
"34",34,"ZZZ","Canton and Enderbury Islands",0,FALSE
"35",35,"CPV","Cape Verde",501,TRUE
"36",36,"CYM","Cayman Islands",57,FALSE
"37",37,"CAF","Central African Republic",4487,TRUE
"38",38,"LKA","Sri Lanka",21045,TRUE
"39",39,"TCD","Chad",11525,TRUE
"40",40,"CHL","Chile",17270,TRUE
"41",42,"CXR","Christmas Island",2.77,FALSE
"42",43,"CCK","Cocos (Keeling) Islands",0.635,FALSE
"43",44,"COL","Colombia",46927,TRUE
"44",45,"COM","Comoros",754,TRUE
"45",46,"COG","Congo",4140,TRUE
"46",47,"COK","Cook Islands",20,FALSE
"47",48,"CRI","Costa Rica",4727,TRUE
"48",49,"CUB","Cuba",11269,TRUE
"49",50,"CYP","Cyprus",1117,TRUE
"50",51,"CZE","Czechoslovakia",15629,TRUE
"51",52,"AZE","Azerbaijan",9306,TRUE
"52",53,"BEN","Benin",9100,TRUE
"53",54,"DNK","Denmark",5573,TRUE
"54",55,"DMA","Dominica",73,FALSE
"55",56,"DOM","Dominican Republic",10056,TRUE
"56",57,"BLR","Belarus",10301,TRUE
"57",58,"ECU","Ecuador",14666,TRUE
"58",59,"EGY","Egypt",82537,TRUE
"59",60,"SLV","El Salvador",6227,TRUE
"60",61,"GNQ","Equatorial Guinea",720,TRUE
"61",62,"ETH","Ethiopia PDR",54914,TRUE
"62",63,"EST","Estonia",1528,TRUE
"63",64,"FRO","Faroe Islands",49,FALSE
"64",65,"FLK","Falkland Islands (Malvinas)",3,FALSE
"65",66,"FJI","Fiji",868,TRUE
"66",67,"FIN","Finland",5385,TRUE
"67",68,"FRA","France",63126,TRUE
"68",69,"GUF","French Guiana",237,FALSE
"69",70,"PYF","French Polynesia",274,FALSE
"70",71,"ATF","French Southern and Antarctic Territories",0,FALSE
"71",72,"DJI","Djibouti",906,TRUE
"72",73,"GEO","Georgia",5346,TRUE
"73",74,"GAB","Gabon",1534,TRUE
"74",75,"GMB","Gambia",1776,TRUE
"75",76,"PSE","Gaza Strip (Palestine)",0,FALSE
"76",77,"DEU","Germany Nl",0,FALSE
"77",78,"DEU","Germany Fr",0,FALSE
"78",79,"DEU","Germany",82541,TRUE
"79",80,"BIH","Bosnia and Herzegovina",3931,TRUE
"80",81,"GHA","Ghana",24966,TRUE
"81",82,"GIB","Gibraltar",29,FALSE
"82",83,"KIR","Kiribati",101,FALSE
"83",84,"GRC","Greece",11390,TRUE
"84",85,"GRL","Greenland",57,FALSE
"85",86,"GRD","Grenada",105,FALSE
