"","FAO","iso3","name","max.pop","gt.500k"
"86",87,"GLP","Guadeloupe",463,FALSE
"87",88,"GUM","Guam",182,FALSE
"88",89,"GTM","Guatemala",14757,TRUE
"89",90,"GIN","Guinea",10222,TRUE
"90",91,"GUY","Guyana",756,TRUE
"91",93,"HTI","Haiti",10124,TRUE
"92",94,"VAT","Holy See",1,FALSE
"93",95,"HND","Honduras",7755,TRUE
"94",97,"HUN","Hungary",10503,TRUE
"95",98,"HRV","Croatia",4669,TRUE
"96",99,"ISL","Iceland",324,FALSE
"97",100,"IND","India",1241492,TRUE
"98",101,"IDN","Indonesia",242326,TRUE
"99",102,"IRN","Iran (Islamic Republic of)",74799,TRUE
"100",103,"IRQ","Iraq",32665,TRUE
"101",104,"IRL","Ireland",4526,TRUE
"102",105,"ISR","Israel",7562,TRUE
"103",106,"ITA","Italy",60789,TRUE
"104",107,"CIV","Cote d'Ivoire",20153,TRUE
"105",108,"KAZ","Kazakhstan",16431,TRUE
"106",109,"JAM","Jamaica",2751,TRUE
"107",110,"JPN","Japan",126552,TRUE
"108",111,"ZZZ","Johnston Island",0,FALSE
"109",112,"JOR","Jordan",6330,TRUE
"110",113,"KGZ","Kyrgyzstan",5393,TRUE
"111",114,"KEN","Kenya",41610,TRUE
"112",115,"KHM","Cambodia",14305,TRUE
"113",116,"PRK","Democratic People's Republic of Korea",24451,TRUE
"114",117,"KOR","Republic of Korea",48391,TRUE
"115",118,"KWT","Kuwait",2818,TRUE
"116",119,"LVA","Latvia",2613,TRUE
"117",120,"LAO","Lao People's Democratic Republic",6288,TRUE
"118",121,"LBN","Lebanon",4259,TRUE
"119",122,"LSO","Lesotho",2194,TRUE
"120",123,"LBR","Liberia",4129,TRUE
"121",124,"LBY","Libya",6423,TRUE
"122",125,"LIE","Liechtenstein",36,FALSE
"123",126,"LTU","Lithuania",3690,TRUE
"124",127,"MHL","Marshall Islands",55,FALSE
"125",129,"MDG","Madagascar",21315,TRUE
"126",130,"MWI","Malawi",15381,TRUE
"127",131,"MYS","Malaysia",28859,TRUE
"128",132,"MDV","Maldives",320,FALSE
"129",133,"MLI","Mali",15840,TRUE
"130",134,"MLT","Malta",418,FALSE
"131",135,"MTQ","Martinique",407,FALSE
"132",136,"MRT","Mauritania",3542,TRUE
"133",137,"MUS","Mauritius",1307,TRUE
"134",138,"MEX","Mexico",114793,TRUE
"135",139,"ZZZ","Midway Island",0,FALSE
"136",140,"MCO","Monaco",35,FALSE
"137",141,"MNG","Mongolia",2800,TRUE
"138",142,"MSR","Montserrat",11,FALSE
"139",143,"MAR","Morocco",32273,TRUE
"140",144,"MOZ","Mozambique",23930,TRUE
"141",145,"FSM","Micronesia (Federated States of)",112,FALSE
"142",146,"MDA","Republic of Moldova",4379,TRUE
"143",147,"NAM","Namibia",2324,TRUE
"144",148,"NRU","Nauru",10,FALSE
"145",149,"NPL","Nepal",30486,TRUE
"146",150,"NLD","Netherlands",16665,TRUE
"147",151,"ANT","Netherlands Antilles",203,FALSE
"148",153,"NCL","New Caledonia",255,FALSE
"149",154,"MKD","The former Yugoslav Republic of Macedonia",2064,TRUE
"150",155,"VUT","Vanuatu",246,FALSE
"151",156,"NZL","New Zealand",4415,TRUE
"152",157,"NIC","Nicaragua",5870,TRUE
"153",158,"NER","Niger",16069,TRUE
"154",159,"NGA","Nigeria",162471,TRUE
"155",160,"NIU","Niue",3,FALSE
"156",161,"NFK","Norfolk Island",2.128,FALSE
"157",162,"NOR","Norway",4925,TRUE
"158",163,"MNP","Northern Mariana Islands",69,FALSE
"159",164,"MNP","Pacific Islands Trust Territory",202,FALSE
"160",165,"PAK","Pakistan",176745,TRUE
"161",166,"PAN","Panama",3571,TRUE
"162",167,"CZE","Czech Republic",10534,TRUE
"163",168,"PNG","Papua New Guinea",7014,TRUE
"164",169,"PRY","Paraguay",6568,TRUE
"165",170,"PER","Peru",29400,TRUE
"166",171,"PHL","Philippines",94852,TRUE
"167",172,"PCN","Pitcairn Islands",0,FALSE
"168",173,"POL","Poland",38399,TRUE
"169",174,"PRT","Portugal",10690,TRUE
"170",175,"GNB","Guinea-Bissau",1547,TRUE
"171",176,"TLS","Timor-Leste",1154,TRUE
"172",177,"PRI","Puerto Rico",3817,TRUE
"173",178,"ERI","Eritrea",5415,TRUE
"174",179,"QAT","Qatar",1870,TRUE
"175",180,"PLW","Palau",21,FALSE
"176",181,"ZWE","Zimbabwe",12754,TRUE
"177",182,"REU","Reunion",856,TRUE
"178",183,"ROU","Romania",23207,TRUE
"179",184,"RWA","Rwanda",10943,TRUE
"180",185,"RUS","Russian Federation",148946,TRUE
"181",186,"SRB","Serbia and Montenegro",10897,TRUE
"182",187,"SHN","Saint Helena",6,FALSE
"183",188,"KNA","Saint Kitts and Nevis",53,FALSE
"184",189,"LCA","Saint Lucia",176,FALSE
"185",190,"SPM","Saint Pierre and Miquelon",6,FALSE
"186",191,"VCT","Saint Vincent and the Grenadines",109,FALSE
"187",192,"SMR","San Marino",32,FALSE
"188",193,"STP","Sao Tome and Principe",169,FALSE
"189",194,"SAU","Saudi Arabia",28083,TRUE
"190",195,"SEN","Senegal",12768,TRUE
"191",196,"SYC","Seychelles",87,FALSE
"192",197,"SLE","Sierra Leone",5997,TRUE
"193",198,"SVN","Slovenia",2035,TRUE
"194",199,"SVK","Slovakia",5472,TRUE
"195",200,"SGP","Singapore",5188,TRUE
"196",201,"SOM","Somalia",9557,TRUE
"197",202,"ZAF","South Africa",50460,TRUE
"198",203,"ESP","Spain",46455,TRUE
"199",205,"ESH","Western Sahara",548,TRUE
"200",206,"SDN","Sudan",43552,TRUE
"201",207,"SUR","Suriname",529,TRUE
"202",208,"TJK","Tajikistan",6977,TRUE
"203",209,"SWZ","Swaziland",1203,TRUE
"204",210,"SWE","Sweden",9441,TRUE
"205",211,"CHE","Switzerland",7702,TRUE
"206",212,"SYR","Syrian Arab Republic",20766,TRUE
"207",213,"TKM","Turkmenistan",5105,TRUE
"208",215,"TZA","United Republic of Tanzania",46218,TRUE
"209",216,"THA","Thailand",69519,TRUE
"210",217,"TGO","Togo",6155,TRUE
"211",218,"TKL","Tokelau",2,FALSE
"212",219,"TON","Tonga",105,FALSE
"213",220,"TTO","Trinidad and Tobago",1346,TRUE
"214",221,"OMN","Oman",2846,TRUE
"215",222,"TUN","Tunisia",10594,TRUE
"216",223,"TUR","Turkey",73640,TRUE
"217",224,NA,"Turks and Caicos",39,FALSE
"218",225,"ARE","United Arab Emirates",7891,TRUE
"219",226,"UGA","Uganda",34509,TRUE
"220",227,"TUV","Tuvalu",10,FALSE
"221",228,"RUS","USSR",290305,TRUE
"222",229,"GBR","United Kingdom",62655,TRUE
"223",230,"UKR","Ukraine",51638,TRUE
"224",231,"USA","United States of America",313085,TRUE
"225",232,"UMI","US Minor Is.",0,FALSE
"226",233,"BFA","Burkina Faso",16968,TRUE
"227",234,"URY","Uruguay",3380,TRUE
"228",235,"UZB","Uzbekistan",27760,TRUE
"229",236,"VEN","Venezuela (Bolivarian Republic of)",29437,TRUE
"230",237,"VNM","Viet Nam",88792,TRUE
"231",238,"ETH","Ethiopia",84734,TRUE
"232",239,"VGB","British Virgin Islands",23,FALSE
"233",240,"VIR","United States Virgin Islands",109,FALSE
"234",242,NA,"Wake Island",0,FALSE
"235",243,"WLF","Wallis and Futuna Islands",15,FALSE
"236",244,"WSM","Samoa",184,FALSE
"237",245,"PSE","West Bank",4152.369,TRUE
"238",246,"YEM","Yemen Ar Rp",17838.691,TRUE
"239",247,"YEM","Yemen Dem",4965.387,TRUE
"240",248,"SVK","Yugoslav SFR",12677,TRUE
"241",249,"YEM","Yemen",24800,TRUE
"242",250,"COD","Democratic Republic of the Congo",67758,TRUE
"243",251,"ZMB","Zambia",13475,TRUE
"244",255,"BEL","Belgium",10754,TRUE
"245",256,"LUX","Luxembourg",516,TRUE
"246",258,"AIA","Anguilla",16,FALSE
"247",259,NA,"Channel Islands",153.876,FALSE
"248",260,"SJM","Svalbard and Jan Mayen Islands",3.544,FALSE
"249",264,NA,"Isle of Man",83.327,FALSE
"250",270,"MYT","Mayotte",211,FALSE
"251",272,"SRB","Serbia",9856,TRUE
"252",273,"MNE","Montenegro",632,TRUE
"253",299,"PSE","Occupied Palestinian Territory",4152,TRUE
"254",351,"CHN","China",1378506,TRUE
