"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"MLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",1.975,1.265,3.783,3.403,1.632,2.566,1.908,0.804,2.314,2.629,1.092,3.959,0.249,-0.403,2.664
"MNG",-13.852,-10.348,-9.661,-3.294,-2.505,-5.88,-2.737,-6.437,-13.893,1.31,-3.772,3.61,2.039,0.751,1.538
"MNE",-1.27,-14.662,-8.801,-17.186,1.22,-7.164,-5.969,-8.767,5.363,-1.874,-3.436,5.043,3.828,-1.314,5.246
"MAR",0.953,6.787,0.405,6.419,4.099,3.987,2.753,6.003,-3.166,-2.251,11.662,-11.418,-4.253,2.363,0.979
"MOZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMR",1.654,0.988,-0.294,1.22,-2.748,-0.314,-1.387,-3.611,-2.64,-2.615,-0.958,0.077,-3.681,-4.777,-1.656
"NAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NPL",2.04,2.368,1.418,1.621,-1.659,-1.135,-0.395,-2.154,0.497,-2.501,-0.416,-1.231,-2.35,-0.754,-2.015
"NLD",-10.461,-9.873,-7.412,-12.417,-12.243,-11.008,-13.345,-9.146,-5.865,-0.413,-9.945,-4.12,-4.217,-2.979,2.697
"ANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NZL",-8.499,-7.48,-7.957,-11.854,-10.741,-9.408,-6.124,-5.475,-8.688,-6.93,-2.858,-2.899,-5.309,-4.107,-5.473
"NIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NER",6.747,5.114,5.47,6.248,6.007,5.364,3.116,0.926,2.249,1.302,4.863,0.389,3.507,3.885,1.491
"NGA",1.821,3.556,2.938,3.154,3.367,4.614,1.605,-0.28,0.939,0.035,3.812,-0.47,3.862,3.547,1.552
"NOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAK",0.187,-2.996,-8.218,-7.06,-6.693,-7.442,-0.45,-4.654,2.176,-2.875,4.247,2.358,1.792,1.82,-5.865
"PAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL",-24.172,-23.75,-20.113,-33.628,-17.731,-17.665,-22.544,-19.99,-13.596,-14.208,-21.801,-6.535,1.274,-4.982,-4.338
"PRT",-0.699,-6.053,-12.695,-10.788,-14.415,-4.141,-8.599,-7.288,-12.151,-2.062,-7.789,-2.799,-5.225,-1.413,-8.287
"QAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOR",2.766,-5.382,-5.427,-5.505,-10.302,-2.051,-9.128,4.815,-5.959,-8.605,-10.048,-9.308,-0.307,0.41,-1.417
"MDA",-11.726,-20.886,-17.973,-26.041,-10.14,-15.091,-18.372,-18.455,-19.391,-11.832,-18.921,-3.29,-5.624,-8.268,-5.49
"ROU",-6.371,-15.049,-13.136,-22.346,-1.627,-11.77,-14.227,-9.965,-10.272,-4.588,-8.945,0.017,-4.682,-10.066,3.82
"RUS",-10.861,-15.677,-14.358,-19.339,-10.827,-14.602,-14.015,-7.038,-9.618,-6.769,-9.054,-6.496,-2.344,-6.422,-1.813
"RWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAU",6.343,16.637,10.607,-3.628,2.616,2.658,2.265,3.255,6.777,-1.75,-8.16,6.442,8.598,2.015,-5.8
"SEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRB",1.472,-18.381,-14.41,-23.895,7.065,-9.651,-9.385,-6.716,4.683,-1.431,-5.43,4.274,0.055,-2.641,4.213
"SYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVK",-17.13,-25.469,-20.289,-38.328,-3.886,-18.538,-15.824,-17.581,-9.772,-3.462,-15.011,-4.317,-6.58,-6.652,-4.749
"SVN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZAF",-0.613,-2.404,-3.319,1.045,0.494,-0.182,-4.244,3.87,-2.096,4.085,-1.243,-1.314,-2.23,6.1,1.092
"ESP",-1.786,-7.502,-10.021,-10.043,-9.667,-5.086,-8.144,-3.997,-11.059,-4.027,-7.04,-6.752,-13.253,-2.515,-8.172
"LKA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDN",10.685,7.784,9.969,4.413,6.477,1.219,7.962,6.609,-0.79,1.569,0.228,10.195,0.1,2.161,5.105
"SUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWE",-10.59,-17.283,-13.735,-8.759,-11.802,-9.043,-5.069,-8.946,-5.806,-7.976,-10.367,-6.172,-0.288,-4.7,-5.684
"CHE",-6.133,-3.289,-8.175,-17.392,-1.177,-10.037,-6.777,-7.387,-3.156,-0.92,-11.105,-4.722,-1.119,1.279,4.56
"SYR",-1.369,-12.479,-7.088,-12.715,-3.497,-8.854,-8.329,-8.179,-7.281,-4.056,-7.523,-2.264,-4.84,-1.874,-3.72
"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MKD",-0.443,-15.782,-12.966,-20.157,2.303,-8.42,-9.712,-7.953,0.7,-1.244,-1.259,0.248,0.613,-4.377,3.155
"TGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUN",-5.094,-11.3,-12.95,-17.548,-9.269,-12.215,-6.431,-5.367,-9.146,-5.206,-5.483,-4.27,-6.531,-9.095,-5.232
"TUR",13.672,-10.383,-12.062,-22.307,-0.403,-12.902,-11.142,1.155,-6.387,-8.046,-6.279,0.497,-4.656,-8.382,-4.776
"TUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UKR",-18.036,-25.311,-24.919,-30.417,-21.345,-23.185,-26.133,-19.457,-20.023,-13.908,-19.226,-10.291,-6.406,-10.884,-4.729
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBR",-12.26,-8.993,-7.256,-15.904,-13.176,-11.14,-9.141,-10.843,-8.285,-4.027,-11.822,-7.981,-1.022,-5.378,3.233
"TZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA",-6.853,-11.3,-12.473,-11.499,-16.433,-8.285,-7.019,-10.021,-3.992,-4.111,-3.862,-3.745,-7.373,-1.678,-3.385
"URY",-9.592,-0.084,-1.133,-1.886,-0.566,-2.164,2.045,-2.102,2.29,3.649,-5.018,0.844,4.657,-1.796,-5.075
"UZB",-1.885,-12.012,-12.899,-14.016,-15.049,-15.308,-12.916,-14.732,-12.943,-9.452,-10.165,-9.453,-7.552,-9.087,-10.529
"VUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VNM",2.329,2.97,-2.143,2.036,1.15,-1.643,3.741,0.607,-1.641,-6.716,-2.645,0.031,-2.257,-4.102,-0.593
"YEM",2.666,3.91,4.326,6.705,0.534,-1.794,-2.821,1.543,1.614,-1.081,-4.191,5.974,-4.524,0.35,-2.806
"ZMB",0.537,0.849,1.598,2.695,2.493,1.016,1.337,-0.828,-0.207,0.392,-0.824,1.518,1.148,1.537,1.555
"ZWE",-3.061,-1.816,0.82,3.493,-2.639,2.292,0.107,-2.573,-1.721,5.52,3.386,6.109,2.146,2.143,-0.446
